#{"t_start": 1652200077.9089417, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,536,107.708199
2.0,907,108.088452
0.0,500,108.291596
1.0,713,108.625848
0.0,544,108.83498
2.0,808,109.170216
1.0,631,109.408386
1.0,693,109.677575
2.0,829,110.005809
0.0,517,110.201947
2.0,885,110.535201
2.0,887,110.869435
3.0,997,111.245686
2.0,899,111.593931
1.0,716,111.861119
4.0,1231,112.318442
4.0,1189,112.87884
0.0,508,116.138146
3.0,955,116.511409
0.0,532,116.712568
1.0,641,116.957742
