#{"t_start": 1652199876.9965944, "env_id": "SeaquestNoFrameskip-v4"}
r,l,t
80.0,2214,1.017736
80.0,2326,1.926509
40.0,2158,2.692161
100.0,2251,3.521343
20.0,1515,4.052616
180.0,2803,5.115127
80.0,2235,5.896384
120.0,2735,6.912001
60.0,1675,7.50579
80.0,2535,8.438827
60.0,1683,9.117311
20.0,1583,9.80086
160.0,2318,10.631982
80.0,2222,11.454269
100.0,1835,12.098592
40.0,2050,12.851507
100.0,1942,13.525326
20.0,1991,14.292963
80.0,2038,15.04297
80.0,1579,23.7003
120.0,2723,24.669076
140.0,2603,25.62221
80.0,1935,26.309699
60.0,1906,27.075333
40.0,1654,27.669105
100.0,2763,28.70035
120.0,2523,29.622231
20.0,1743,30.262865
100.0,1910,30.98162
40.0,1683,31.622253
60.0,2163,32.403527
40.0,1607,32.981658
60.0,1991,33.710227
20.0,1623,34.338295
20.0,1359,34.824655
20.0,1499,35.362644
120.0,2147,36.161961
100.0,3111,37.34207
0.0,1223,37.786975
60.0,2491,50.651157
0.0,1327,51.682418
80.0,2114,52.713696
120.0,2599,53.666813
100.0,2755,54.682448
40.0,1799,55.354328
40.0,1970,56.243708
100.0,2411,58.017964
60.0,1906,59.545045
40.0,1751,60.818946
240.0,3187,63.261673
20.0,1419,64.320422
0.0,1246,65.071952
0.0,1355,65.870518
20.0,1495,66.659075
20.0,2014,67.770863
0.0,1218,68.302237
40.0,1831,69.135827
100.0,2146,70.18457
40.0,1394,70.770985
0.0,1467,71.510506
260.0,4171,85.47038
0.0,1350,85.979742
60.0,1995,86.721267
20.0,1603,87.662932
120.0,2202,88.828756
180.0,2819,90.031607
80.0,2243,90.909227
40.0,1774,91.620748
20.0,1634,92.225159
40.0,1935,92.983694
20.0,1539,93.567109
140.0,2415,94.485759
220.0,3203,95.69261
40.0,2139,96.488173
60.0,1791,97.165652
140.0,2318,98.031264
60.0,1951,98.871859
40.0,1794,99.553341
60.0,2218,100.388932
80.0,2335,101.420662
60.0,1862,110.041759
160.0,2283,110.899383
100.0,2103,111.707938
20.0,1451,112.321372
20.0,1639,112.922798
20.0,1531,113.524232
20.0,1463,114.076631
40.0,1571,114.677039
60.0,1618,115.309486
140.0,2714,116.353225
80.0,2479,117.294891
60.0,1818,118.167507
160.0,3243,119.516479
20.0,1767,120.197943
260.0,4123,121.773075
220.0,3026,122.931876
140.0,2623,123.92458
20.0,1439,124.501988
0.0,1263,124.987348
20.0,1643,125.598764
20.0,1514,137.565227
80.0,2031,138.927193
60.0,2043,140.455271
20.0,1411,141.052693
