#{"t_start": 1652195814.6774156, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,627,0.433307
3.0,953,0.801584
10.0,1735,1.472041
2.0,908,1.835298
1.0,704,2.138515
1.0,713,2.412706
0.0,523,2.617853
2.0,896,2.965098
4.0,1217,3.43643
0.0,542,3.656585
1.0,714,3.944806
4.0,1225,4.416136
0.0,536,4.628275
5.0,1503,5.204682
2.0,891,5.581949
6.0,1385,6.119327
1.0,708,6.403528
0.0,534,6.609675
0.0,516,6.808815
0.0,528,7.013961
1.0,636,7.285152
1.0,638,7.532326
0.0,509,7.731469
2.0,776,8.027678
2.0,832,8.354909
0.0,518,8.559055
1.0,625,8.806229
3.0,1012,9.217521
5.0,1377,9.748912
4.0,1079,10.16719
4.0,1219,10.651532
1.0,713,10.928746
3.0,995,11.317003
0.0,535,11.529155
2.0,819,11.84838
2.0,843,12.175611
0.0,526,12.411777
4.0,1206,12.875107
0.0,520,13.08127
1.0,616,13.321421
1.0,629,13.568598
1.0,631,13.814788
0.0,516,14.025919
1.0,716,14.314141
0.0,517,14.517269
1.0,620,14.757439
3.0,944,15.121695
0.0,526,15.326857
4.0,1219,15.808182
0.0,518,16.015344
0.0,519,16.218472
0.0,526,16.423617
1.0,630,16.667805
0.0,533,16.872951
1.0,651,17.126113
0.0,530,17.328256
1.0,632,21.270044
0.0,527,21.479192
1.0,706,21.765396
11.0,1947,22.508922
3.0,1011,22.907201
3.0,1075,23.340508
1.0,616,23.580695
6.0,1535,24.164092
1.0,620,24.406263
0.0,533,24.622414
1.0,715,24.911636
3.0,964,25.276877
0.0,518,25.476025
0.0,518,25.676177
0.0,528,25.876319
1.0,709,26.14651
1.0,638,26.404674
2.0,832,26.733926
0.0,532,26.936053
3.0,1112,27.360353
2.0,814,27.670571
0.0,533,27.872715
5.0,1423,28.435128
0.0,532,28.638257
1.0,710,28.909448
3.0,1107,29.325758
2.0,916,29.67899
1.0,710,29.963193
1.0,626,30.206381
1.0,730,30.482561
2.0,826,30.7948
2.0,835,31.111021
2.0,896,31.463253
4.0,1215,31.932603
0.0,525,32.135728
0.0,509,32.332886
0.0,522,32.533027
2.0,911,32.88726
0.0,513,33.089403
0.0,520,33.309577
3.0,1004,33.69083
0.0,517,33.892989
4.0,1203,34.349312
1.0,643,34.594486
3.0,944,34.981741
0.0,518,35.183884
4.0,1218,35.643211
6.0,1599,36.247639
0.0,522,36.455786
1.0,628,36.718984
1.0,715,36.987161
3.0,1018,37.431475
1.0,693,37.772717
2.0,823,38.14698
0.0,521,43.540797
0.0,518,44.325352
0.0,540,44.954798
0.0,514,45.760366
2.0,825,47.065289
3.0,1022,47.499597
0.0,530,47.711748
5.0,1337,48.25513
0.0,509,48.457275
0.0,536,48.671424
2.0,748,48.960636
0.0,538,49.170795
3.0,1003,49.560071
1.0,649,49.824241
2.0,902,50.177491
1.0,706,50.448684
0.0,517,50.654827
0.0,528,50.856972
0.0,533,51.062115
3.0,885,51.409361
