#{"t_start": 1652195814.6774156, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
4.0,1201,51.906715
0.0,514,52.11286
1.0,632,52.367055
2.0,785,52.674257
2.0,877,53.013513
1.0,709,53.311706
5.0,1427,53.911131
0.0,522,54.172314
4.0,1227,54.804762
2.0,814,55.129994
1.0,641,55.418214
2.0,919,55.798485
2.0,912,56.199749
2.0,885,56.656074
0.0,532,56.944277
5.0,1410,57.667788
0.0,522,57.924971
2.0,830,58.317246
3.0,1035,58.871639
3.0,995,59.471063
0.0,501,59.842327
0.0,528,60.112516
1.0,630,60.412729
0.0,517,60.689926
1.0,626,61.024162
4.0,1320,61.935806
0.0,542,62.319077
0.0,536,62.782407
0.0,512,63.25674
1.0,635,63.790118
1.0,699,64.21542
0.0,525,64.48661
0.0,516,64.788827
0.0,516,65.152082
2.0,895,65.769518
2.0,807,66.155793
2.0,916,66.601109
3.0,893,67.029411
3.0,951,67.488734
4.0,1121,71.729734
0.0,517,71.931894
4.0,1210,72.400225
0.0,513,72.626368
1.0,704,72.903565
4.0,1044,73.370894
0.0,509,73.581043
1.0,712,73.86226
2.0,905,74.224502
0.0,522,74.433648
6.0,1603,75.080103
0.0,504,75.291255
0.0,513,75.495397
1.0,622,75.751596
1.0,710,76.053795
0.0,529,76.308973
3.0,978,76.882379
0.0,533,77.158574
0.0,536,77.369724
0.0,524,77.594883
2.0,835,77.93112
3.0,1013,78.333406
3.0,1031,78.737707
7.0,1320,79.264063
2.0,812,79.579286
3.0,922,79.934555
6.0,1525,80.526957
3.0,939,80.895216
2.0,819,81.207439
1.0,707,81.476645
1.0,634,81.7198
0.0,512,81.917957
1.0,636,82.173122
3.0,937,82.547402
1.0,641,82.790559
1.0,622,83.029727
1.0,628,83.271899
0.0,525,83.473042
1.0,712,83.74223
6.0,1331,84.272605
2.0,905,84.623871
1.0,652,84.872031
5.0,1351,85.384392
1.0,718,85.675617
1.0,710,85.952794
2.0,908,86.299056
1.0,652,86.54523
2.0,923,86.894464
0.0,533,87.129626
0.0,518,87.350781
2.0,803,87.671009
3.0,1009,88.0583
0.0,530,88.262427
0.0,525,88.463569
1.0,701,88.73076
0.0,524,88.933902
0.0,532,92.960749
0.0,532,93.169899
0.0,516,93.370041
2.0,869,93.711283
0.0,536,93.915425
3.0,1093,94.394764
0.0,520,94.594906
0.0,512,94.821066
2.0,917,95.172314
2.0,899,95.513573
0.0,525,95.713698
0.0,534,95.918842
1.0,618,96.158011
3.0,1095,96.595338
1.0,706,96.86653
0.0,526,97.067673
3.0,1113,97.497959
0.0,517,97.696101
3.0,932,98.052351
2.0,899,98.416609
0.0,526,98.61877
1.0,720,98.894964
0.0,529,99.098108
0.0,516,99.302236
0.0,522,99.500376
2.0,911,99.852626
5.0,1421,100.40902
0.0,513,100.610162
1.0,712,100.882354
1.0,722,101.170557
1.0,711,101.440748
2.0,782,101.76798
1.0,696,102.035186
2.0,884,102.398443
0.0,534,102.602587
0.0,510,102.79871
3.0,999,103.185982
1.0,617,103.447168
0.0,528,103.651329
2.0,891,103.990554
0.0,536,104.195714
2.0,873,104.527949
3.0,862,104.867188
2.0,823,105.202408
2.0,887,105.539664
0.0,520,105.739789
1.0,627,105.97896
0.0,527,106.181118
0.0,518,106.381243
0.0,538,106.592392
5.0,1323,107.114779
0.0,519,107.313909
0.0,526,107.518046
1.0,694,107.790257
0.0,527,107.99038
2.0,831,108.308605
0.0,529,108.527762
3.0,1011,108.932046
0.0,538,109.139195
3.0,928,109.510458
1.0,701,109.839692
3.0,1019,110.397084
0.0,524,114.292838
0.0,502,114.489995
0.0,509,114.69112
