#{"t_start": 1652197926.1283128, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,826,17.617461
2.0,797,32.742158
0.0,518,41.964682
0.0,512,50.643821
1.0,703,74.654807
4.0,1205,97.081666
0.0,518,106.157084
0.0,519,124.99541
1.0,642,135.971171
0.0,544,144.917499
0.0,517,153.752749
4.0,1207,186.4849
0.0,529,195.567324
1.0,693,207.822993
0.0,544,217.045516
2.0,880,246.066044
0.0,530,255.4677
3.0,1103,276.869829
