#{"t_start": 1652200410.4399688, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,4029,1.770265
352.0,5500,4.970517
308.0,3760,6.885888
352.0,5694,9.776932
572.0,5866,13.084256
396.0,4919,15.588026
660.0,7730,19.634888
308.0,5174,54.432499
440.0,5288,57.711821
308.0,4592,60.320663
484.0,5892,63.613996
528.0,6904,67.57281
396.0,5502,71.116299
660.0,8160,75.680544
396.0,5194,114.950333
528.0,7424,119.587615
484.0,5558,122.227484
308.0,4476,124.764276
88.0,4326,126.793712
616.0,6212,130.318204
484.0,5750,132.920061
308.0,4910,164.811617
220.0,3836,166.382712
264.0,3810,167.858757
572.0,6387,170.324517
352.0,3858,171.809552
264.0,4468,173.723904
572.0,5956,176.260702
804.0,10350,212.610409
484.0,7024,216.263993
440.0,5884,218.972908
220.0,4715,221.259544
176.0,3458,222.995754
528.0,5864,225.612606
220.0,3956,227.378855
176.0,4216,229.2792
352.0,6110,262.373623
484.0,5908,264.767301
