#{"t_start": 1652195411.2844746, "env_id": "PongNoFrameskip-v4"}
r,l,t
-21.0,3769,1.609157
-21.0,3057,2.767958
-20.0,4392,4.44014
-20.0,4403,6.123333
-21.0,3458,7.873589
-19.0,3750,9.447684
-21.0,3537,10.966774
-21.0,3417,12.453826
-21.0,3566,13.902834
-21.0,3169,16.772864
-21.0,3897,34.705549
-20.0,3691,36.110541
-20.0,3550,37.484531
-20.0,3616,38.880501
-20.0,3902,40.38058
-19.0,3923,42.332944
-21.0,3289,43.590832
-21.0,3057,44.77167
-20.0,3772,46.213687
-21.0,3653,47.612677
-20.0,4418,49.291865
-20.0,4072,67.453712
-21.0,3297,69.154914
-21.0,3781,70.561911
-19.0,4363,72.249103
-20.0,4141,73.815211
-20.0,3480,75.10312
-18.0,4136,76.659222
-21.0,3970,78.164288
-18.0,4421,80.027608
-21.0,3697,81.655755
-21.0,3417,82.934662
-21.0,3297,101.089503
-20.0,3837,102.52153
-21.0,3297,103.766396
-21.0,3297,105.009291
-19.0,3800,106.44629
-20.0,3679,107.844279
-21.0,3193,109.019127
-21.0,3374,110.498157
-21.0,3369,112.422534
-21.0,3132,113.620366
-21.0,3771,115.273535
-20.0,3368,136.788752
-20.0,3608,138.139709
-19.0,3667,139.527688
-21.0,3528,140.939687
-20.0,3966,144.159967
-21.0,3409,145.757095
-21.0,3134,147.107049
-20.0,4148,149.011397
-19.0,3749,150.954788
-19.0,4248,153.208365
-20.0,3909,154.727439
-20.0,3790,174.092135
